year,month,visitors,date,month_name,holiday,season_monsoon,season_summer,season_winter,festival_navratri,festival_none
1986,1,21906,1986-01-01,January,1,False,False,True,False,True
1986,2,25449,1986-02-01,February,0,False,False,True,False,True
1986,3,68496,1986-03-01,March,0,False,True,False,True,False
1986,4,109604,1986-04-01,April,0,False,True,False,True,False
1986,5,159989,1986-05-01,May,1,False,True,False,False,True
1986,6,193690,1986-06-01,June,0,True,False,False,False,True
1986,7,131497,1986-07-01,July,0,True,False,False,False,True
1986,8,140681,1986-08-01,August,0,True,False,False,False,True
1986,9,149424,1986-09-01,September,0,False,False,False,False,True
1986,10,189882,1986-10-01,October,1,False,False,False,True,False
1986,11,149841,1986-11-01,November,1,False,False,False,False,False
1986,12,55373,1986-12-01,December,1,False,False,True,False,True
1987,1,37921,1987-01-01,January,1,False,False,True,False,True
1987,2,50771,1987-02-01,February,0,False,False,True,False,True
1987,3,140252,1987-03-01,March,0,False,True,False,True,False
1987,4,185788,1987-04-01,April,0,False,True,False,True,False
1987,5,181114,1987-05-01,May,1,False,True,False,False,True
1987,6,217485,1987-06-01,June,0,True,False,False,False,True
1987,7,169298,1987-07-01,July,0,True,False,False,False,True
1987,8,183747,1987-08-01,August,0,True,False,False,False,True
1987,9,192578,1987-09-01,September,0,False,False,False,False,True
1987,10,217612,1987-10-01,October,1,False,False,False,True,False
1987,11,154276,1987-11-01,November,1,False,False,False,False,False
1987,12,127093,1987-12-01,December,1,False,False,True,False,True
1988,1,70989,1988-01-01,January,1,False,False,True,False,True
1988,2,72590,1988-02-01,February,0,False,False,True,False,True
1988,3,156453,1988-03-01,March,0,False,True,False,True,False
1988,4,213464,1988-04-01,April,0,False,True,False,True,False
1988,5,227675,1988-05-01,May,1,False,True,False,False,True
1988,6,233920,1988-06-01,June,0,True,False,False,False,True
1988,7,170577,1988-07-01,July,0,True,False,False,False,True
1988,8,193482,1988-08-01,August,0,True,False,False,False,True
1988,9,173591,1988-09-01,September,0,False,False,False,False,True
1988,10,176272,1988-10-01,October,1,False,False,False,True,False
1988,11,171044,1988-11-01,November,1,False,False,False,False,False
1988,12,132548,1988-12-01,December,1,False,False,True,False,True
1989,1,45850,1989-01-01,January,1,False,False,True,False,True
1989,2,56964,1989-02-01,February,0,False,False,True,False,True
1989,3,162093,1989-03-01,March,0,False,True,False,True,False
1989,4,225857,1989-04-01,April,0,False,True,False,True,False
1989,5,226105,1989-05-01,May,1,False,True,False,False,True
1989,6,271601,1989-06-01,June,0,True,False,False,False,True
1989,7,233889,1989-07-01,July,0,True,False,False,False,True
1989,8,249165,1989-08-01,August,0,True,False,False,False,True
1989,9,211617,1989-09-01,September,0,False,False,False,False,True
1989,10,262727,1989-10-01,October,1,False,False,False,True,False
1989,11,214908,1989-11-01,November,1,False,False,False,False,False
1989,12,151235,1989-12-01,December,1,False,False,True,False,True
1990,1,75340,1990-01-01,January,1,False,False,True,False,True
1990,2,71845,1990-02-01,February,0,False,False,True,False,True
1990,3,168756,1990-03-01,March,0,False,True,False,True,False
1990,4,212610,1990-04-01,April,0,False,True,False,True,False
1990,5,212939,1990-05-01,May,1,False,True,False,False,True
1990,6,311561,1990-06-01,June,0,True,False,False,False,True
1990,7,255573,1990-07-01,July,0,True,False,False,False,True
1990,8,229013,1990-08-01,August,0,True,False,False,False,True
1990,9,195048,1990-09-01,September,0,False,False,False,False,True
1990,10,143080,1990-10-01,October,1,False,False,False,True,False
1990,11,148345,1990-11-01,November,1,False,False,False,False,False
1990,12,144983,1990-12-01,December,1,False,False,True,False,True
1991,1,69467,1991-01-01,January,1,False,False,True,False,True
1991,2,90380,1991-02-01,February,0,False,False,True,False,True
1991,3,213884,1991-03-01,March,0,False,True,False,True,False
1991,4,315013,1991-04-01,April,0,False,True,False,True,False
1991,5,279413,1991-05-01,May,1,False,True,False,False,True
1991,6,347570,1991-06-01,June,0,True,False,False,False,True
1991,7,294956,1991-07-01,July,0,True,False,False,False,True
1991,8,326351,1991-08-01,August,0,True,False,False,False,True
1991,9,326168,1991-09-01,September,0,False,False,False,False,True
1991,10,360654,1991-10-01,October,1,False,False,False,True,False
1991,11,262722,1991-11-01,November,1,False,False,False,False,False
1991,12,228869,1991-12-01,December,1,False,False,True,False,True
1992,1,119336,1992-01-01,January,1,False,False,True,False,True
1992,2,68328,1992-02-01,February,0,False,False,True,False,True
1992,3,245120,1992-03-01,March,0,False,True,False,True,False
1992,4,327690,1992-04-01,April,0,False,True,False,True,False
1992,5,400724,1992-05-01,May,1,False,True,False,False,True
1992,6,527684,1992-06-01,June,0,True,False,False,False,True
1992,7,351678,1992-07-01,July,0,True,False,False,False,True
1992,8,365492,1992-08-01,August,0,True,False,False,False,True
1992,9,308067,1992-09-01,September,0,False,False,False,False,True
1992,10,356618,1992-10-01,October,1,False,False,False,True,False
1992,11,247815,1992-11-01,November,1,False,False,False,False,False
1992,12,197715,1992-12-01,December,1,False,False,True,False,True
1993,1,106236,1993-01-01,January,1,False,False,True,False,True
1993,2,97956,1993-02-01,February,0,False,False,True,False,True
1993,3,239519,1993-03-01,March,0,False,True,False,True,False
1993,4,343186,1993-04-01,April,0,False,True,False,True,False
1993,5,364948,1993-05-01,May,1,False,True,False,False,True
1993,6,520146,1993-06-01,June,0,True,False,False,False,True
1993,7,253769,1993-07-01,July,0,True,False,False,False,True
1993,8,263602,1993-08-01,August,0,True,False,False,False,True
1993,9,294431,1993-09-01,September,0,False,False,False,False,True
1993,10,387861,1993-10-01,October,1,False,False,False,True,False
1993,11,238242,1993-11-01,November,1,False,False,False,False,False
1993,12,258769,1993-12-01,December,1,False,False,True,False,True
1994,1,159293,1994-01-01,January,1,False,False,True,False,True
1994,2,92649,1994-02-01,February,0,False,False,True,False,True
1994,3,263053,1994-03-01,March,0,False,True,False,True,False
1994,4,354573,1994-04-01,April,0,False,True,False,True,False
1994,5,415323,1994-05-01,May,1,False,True,False,False,True
1994,6,519278,1994-06-01,June,0,True,False,False,False,True
1994,7,327294,1994-07-01,July,0,True,False,False,False,True
1994,8,328993,1994-08-01,August,0,True,False,False,False,True
1994,9,291999,1994-09-01,September,0,False,False,False,False,True
1994,10,377394,1994-10-01,October,1,False,False,False,True,False
1994,11,324027,1994-11-01,November,1,False,False,False,False,False
1994,12,251068,1994-12-01,December,1,False,False,True,False,True
1995,1,107563,1995-01-01,January,1,False,False,True,False,True
1995,2,89840,1995-02-01,February,0,False,False,True,False,True
1995,3,283962,1995-03-01,March,0,False,True,False,True,False
1995,4,408610,1995-04-01,April,0,False,True,False,True,False
1995,5,421048,1995-05-01,May,1,False,True,False,False,True
1995,6,602198,1995-06-01,June,0,True,False,False,False,True
1995,7,401718,1995-07-01,July,0,True,False,False,False,True
1995,8,379936,1995-08-01,August,0,True,False,False,False,True
1995,9,314651,1995-09-01,September,0,False,False,False,False,True
1995,10,414055,1995-10-01,October,1,False,False,False,True,False
1995,11,290374,1995-11-01,November,1,False,False,False,False,False
1995,12,297672,1995-12-01,December,1,False,False,True,False,True
1996,1,166958,1996-01-01,January,1,False,False,True,False,True
1996,2,126209,1996-02-01,February,0,False,False,True,False,True
1996,3,378326,1996-03-01,March,0,False,True,False,True,False
1996,4,431689,1996-04-01,April,0,False,True,False,True,False
1996,5,465033,1996-05-01,May,1,False,True,False,False,True
1996,6,658538,1996-06-01,June,0,True,False,False,False,True
1996,7,415325,1996-07-01,July,0,True,False,False,False,True
1996,8,396492,1996-08-01,August,0,True,False,False,False,True
1996,9,298788,1996-09-01,September,0,False,False,False,False,True
1996,10,419933,1996-10-01,October,1,False,False,False,True,False
1996,11,323835,1996-11-01,November,1,False,False,False,False,False
1996,12,254306,1996-12-01,December,1,False,False,True,False,True
1997,1,161515,1997-01-01,January,1,False,False,True,False,True
1997,2,126705,1997-02-01,February,0,False,False,True,False,True
1997,3,361928,1997-03-01,March,0,False,True,False,True,False
1997,4,473706,1997-04-01,April,0,False,True,False,True,False
1997,5,471650,1997-05-01,May,1,False,True,False,False,True
1997,6,603805,1997-06-01,June,0,True,False,False,False,True
1997,7,443089,1997-07-01,July,0,True,False,False,False,True
1997,8,429224,1997-08-01,August,0,True,False,False,False,True
1997,9,349899,1997-09-01,September,0,False,False,False,False,True
1997,10,437972,1997-10-01,October,1,False,False,False,True,False
1997,11,342296,1997-11-01,November,1,False,False,False,False,False
1997,12,232444,1997-12-01,December,1,False,False,True,False,True
1998,1,159456,1998-01-01,January,1,False,False,True,False,True
1998,2,153551,1998-02-01,February,0,False,False,True,False,True
1998,3,316678,1998-03-01,March,0,False,True,False,True,False
1998,4,422739,1998-04-01,April,0,False,True,False,True,False
1998,5,486250,1998-05-01,May,1,False,True,False,False,True
1998,6,552672,1998-06-01,June,0,True,False,False,False,True
1998,7,488675,1998-07-01,July,0,True,False,False,False,True
1998,8,469961,1998-08-01,August,0,True,False,False,False,True
1998,9,427984,1998-09-01,September,0,False,False,False,False,True
1998,10,486898,1998-10-01,October,1,False,False,False,True,False
1998,11,363350,1998-11-01,November,1,False,False,False,False,False
1998,12,294083,1998-12-01,December,1,False,False,True,False,True
1999,1,180723,1999-01-01,January,1,False,False,True,False,True
1999,2,176700,1999-02-01,February,0,False,False,True,False,True
1999,3,419580,1999-03-01,March,0,False,True,False,True,False
1999,4,443017,1999-04-01,April,0,False,True,False,True,False
1999,5,521593,1999-05-01,May,1,False,True,False,False,True
1999,6,510210,1999-06-01,June,0,True,False,False,False,True
1999,7,292094,1999-07-01,July,0,True,False,False,False,True
1999,8,427062,1999-08-01,August,0,True,False,False,False,True
1999,9,403781,1999-09-01,September,0,False,False,False,False,True
1999,10,525161,1999-10-01,October,1,False,False,False,True,False
1999,11,418832,1999-11-01,November,1,False,False,False,False,False
1999,12,351701,1999-12-01,December,1,False,False,True,False,True
2000,1,192125,2000-01-01,January,1,False,False,True,False,True
2000,2,147109,2000-02-01,February,0,False,False,True,False,True
2000,3,348452,2000-03-01,March,0,False,True,False,True,False
2000,4,471786,2000-04-01,April,0,False,True,False,True,False
2000,5,628462,2000-05-01,May,1,False,True,False,False,True
2000,6,667655,2000-06-01,June,0,True,False,False,False,True
2000,7,554769,2000-07-01,July,0,True,False,False,False,True
2000,8,425484,2000-08-01,August,0,True,False,False,False,True
2000,9,416945,2000-09-01,September,0,False,False,False,False,True
2000,10,558817,2000-10-01,October,1,False,False,False,True,False
2000,11,419628,2000-11-01,November,1,False,False,False,False,False
2000,12,386483,2000-12-01,December,1,False,False,True,False,True
2001,1,222836,2001-01-01,January,1,False,False,True,False,True
2001,2,174481,2001-02-01,February,0,False,False,True,False,True
2001,3,436844,2001-03-01,March,0,False,True,False,True,False
2001,4,511081,2001-04-01,April,0,False,True,False,True,False
2001,5,570885,2001-05-01,May,1,False,True,False,False,True
2001,6,704657,2001-06-01,June,0,True,False,False,False,True
2001,7,623154,2001-07-01,July,0,True,False,False,False,True
2001,8,382668,2001-08-01,August,0,True,False,False,False,True
2001,9,347934,2001-09-01,September,0,False,False,False,False,True
2001,10,443153,2001-10-01,October,1,False,False,False,True,False
2001,11,312253,2001-11-01,November,1,False,False,False,False,False
2001,12,326973,2001-12-01,December,1,False,False,True,False,True
2002,1,171558,2002-01-01,January,1,False,False,True,False,True
2002,2,136597,2002-02-01,February,0,False,False,True,False,True
2002,3,327223,2002-03-01,March,0,False,True,False,True,False
2002,4,418393,2002-04-01,April,0,False,True,False,True,False
2002,5,407950,2002-05-01,May,1,False,True,False,False,True
2002,6,466899,2002-06-01,June,0,True,False,False,False,True
2002,7,442955,2002-07-01,July,0,True,False,False,False,True
2002,8,517371,2002-08-01,August,0,True,False,False,False,True
2002,9,379714,2002-09-01,September,0,False,False,False,False,True
2002,10,448069,2002-10-01,October,1,False,False,False,True,False
2002,11,361868,2002-11-01,November,1,False,False,False,False,False
2002,12,353581,2002-12-01,December,1,False,False,True,False,True
2003,1,175320,2003-01-01,January,1,False,False,True,False,True
2003,2,161737,2003-02-01,February,0,False,False,True,False,True
2003,3,389687,2003-03-01,March,0,False,True,False,True,False
2003,4,472299,2003-04-01,April,0,False,True,False,True,False
2003,5,573170,2003-05-01,May,1,False,True,False,False,True
2003,6,741605,2003-06-01,June,0,True,False,False,False,True
2003,7,586908,2003-07-01,July,0,True,False,False,False,True
2003,8,541015,2003-08-01,August,0,True,False,False,False,True
2003,9,485573,2003-09-01,September,0,False,False,False,False,True
2003,10,522923,2003-10-01,October,1,False,False,False,True,False
2003,11,380266,2003-11-01,November,1,False,False,False,False,False
2003,12,369793,2003-12-01,December,1,False,False,True,False,True
2004,1,224956,2004-01-01,January,1,False,False,True,False,True
2004,2,208310,2004-02-01,February,0,False,False,True,False,True
2004,3,503879,2004-03-01,March,0,False,True,False,True,False
2004,4,499458,2004-04-01,April,0,False,True,False,True,False
2004,5,689195,2004-05-01,May,1,False,True,False,False,True
2004,6,789238,2004-06-01,June,0,True,False,False,False,True
2004,7,644247,2004-07-01,July,0,True,False,False,False,True
2004,8,552858,2004-08-01,August,0,True,False,False,False,True
2004,9,519832,2004-09-01,September,0,False,False,False,False,True
2004,10,634788,2004-10-01,October,1,False,False,False,True,False
2004,11,434865,2004-11-01,November,1,False,False,False,False,False
2004,12,408269,2004-12-01,December,1,False,False,True,False,True
2005,1,248358,2005-01-01,January,1,False,False,True,False,True
2005,2,153727,2005-02-01,February,0,False,False,True,False,True
2005,3,424132,2005-03-01,March,0,False,True,False,True,False
2005,4,561782,2005-04-01,April,0,False,True,False,True,False
2005,5,651638,2005-05-01,May,1,False,True,False,False,True
2005,6,857030,2005-06-01,June,0,True,False,False,False,True
2005,7,672044,2005-07-01,July,0,True,False,False,False,True
2005,8,630838,2005-08-01,August,0,True,False,False,False,True
2005,9,536619,2005-09-01,September,0,False,False,False,False,True
2005,10,641995,2005-10-01,October,1,False,False,False,True,False
2005,11,474556,2005-11-01,November,1,False,False,False,False,False
2005,12,399279,2005-12-01,December,1,False,False,True,False,True
2006,1,263887,2006-01-01,January,1,False,False,True,False,True
2006,2,255251,2006-02-01,February,0,False,False,True,False,True
2006,3,555042,2006-03-01,March,0,False,True,False,True,False
2006,4,646441,2006-04-01,April,0,False,True,False,True,False
2006,5,731741,2006-05-01,May,1,False,True,False,False,True
2006,6,956368,2006-06-01,June,0,True,False,False,False,True
2006,7,717573,2006-07-01,July,0,True,False,False,False,True
2006,8,629734,2006-08-01,August,0,True,False,False,False,True
2006,9,620112,2006-09-01,September,0,False,False,False,False,True
2006,10,646372,2006-10-01,October,1,False,False,False,True,False
2006,11,468201,2006-11-01,November,1,False,False,False,False,False
2006,12,459851,2006-12-01,December,1,False,False,True,False,True
2007,1,292640,2007-01-01,January,1,False,False,True,False,True
2007,2,254674,2007-02-01,February,0,False,False,True,False,True
2007,3,489300,2007-03-01,March,0,False,True,False,True,False
2007,4,584059,2007-04-01,April,0,False,True,False,True,False
2007,5,799079,2007-05-01,May,1,False,True,False,False,True
2007,6,956768,2007-06-01,June,0,True,False,False,False,True
2007,7,715259,2007-07-01,July,0,True,False,False,False,True
2007,8,703840,2007-08-01,August,0,True,False,False,False,True
2007,9,756395,2007-09-01,September,0,False,False,False,False,True
2007,10,771337,2007-10-01,October,1,False,False,False,True,False
2007,11,562607,2007-11-01,November,1,False,False,False,False,False
2007,12,531661,2007-12-01,December,1,False,False,True,False,True
2008,1,340303,2008-01-01,January,1,False,False,True,False,True
2008,2,225438,2008-02-01,February,0,False,False,True,False,True
2008,3,618236,2008-03-01,March,0,False,True,False,True,False
2008,4,623841,2008-04-01,April,0,False,True,False,True,False
2008,5,965950,2008-05-01,May,1,False,True,False,False,True
2008,6,1118065,2008-06-01,June,0,True,False,False,False,True
2008,7,531129,2008-07-01,July,0,True,False,False,False,True
2008,8,271544,2008-08-01,August,0,True,False,False,False,True
2008,9,424838,2008-09-01,September,0,False,False,False,False,True
2008,10,656554,2008-10-01,October,1,False,False,False,True,False
2008,11,506566,2008-11-01,November,1,False,False,False,False,False
2008,12,509759,2008-12-01,December,1,False,False,True,False,True
2009,1,414460,2009-01-01,January,1,False,False,True,False,True
2009,2,297842,2009-02-01,February,0,False,False,True,False,True
2009,3,673820,2009-03-01,March,0,False,True,False,True,False
2009,4,699031,2009-04-01,April,0,False,True,False,True,False
2009,5,815642,2009-05-01,May,1,False,True,False,False,True
2009,6,1013556,2009-06-01,June,0,True,False,False,False,True
2009,7,909676,2009-07-01,July,0,True,False,False,False,True
2009,8,825311,2009-08-01,August,0,True,False,False,False,True
2009,9,783217,2009-09-01,September,0,False,False,False,False,True
2009,10,764386,2009-10-01,October,1,False,False,False,True,False
2009,11,475069,2009-11-01,November,1,False,False,False,False,False
2009,12,562886,2009-12-01,December,1,False,False,True,False,True
2010,1,399665,2010-01-01,January,1,False,False,True,False,True
2010,2,377217,2010-02-01,February,0,False,False,True,False,True
2010,3,722209,2010-03-01,March,0,False,True,False,True,False
2010,4,878378,2010-04-01,April,0,False,True,False,True,False
